hot_inlet_temperature_k,cold_inlet_mass_flow_kg_s,hot_outlet_temperature_k,cold_outlet_temperature_k,hx_1_heat_load_kw,hot_outlet_pressure_pa,cold_outlet_pressure_pa,hot_outlet_mass_flow_kg_s,cold_outlet_mass_flow_kg_s,hx_1_logarithmic_mean_temperature_difference_lmtd_k,hot_inlet_temperature_k_noisy,cold_inlet_mass_flow_kg_s_noisy,hot_outlet_temperature_k_noisy,cold_outlet_temperature_k_noisy,hx_1_heat_load_kw_noisy,hot_outlet_pressure_pa_noisy,cold_outlet_pressure_pa_noisy,hot_outlet_mass_flow_kg_s_noisy,cold_outlet_mass_flow_kg_s_noisy,hx_1_logarithmic_mean_temperature_difference_lmtd_k_noisy
373.15,0.5,378.649,2011.51,61.3959,500000,100000,1,0.5,61.3959,382.417444309807,0.4830376317378194,391.8368239392793,1613.1159681532563,57.050382172536295,502455.1536419764,100394.18879834068,1.0160076203919732,0.5166000269288452,67.29539866538349
556.988,0.5,364.362,2011.51,121.601,500000,100000,1,0.5,121.601,547.4887664956156,0.5204421578263638,338.18087651787147,2048.946505591588,129.25614163420397,463916.9324864712,108396.58825472296,0.9554096089853804,0.523611878009401,114.50224373877674
455.978,0.5,371.369,2011.51,92.1046,500000,100000,1,0.5,92.1046,421.77459180305743,0.4459736000662682,362.5241215217378,2030.08962620126,80.96782837838578,500751.1420387022,107264.16475824444,1.0965472672305854,0.472450335555132,90.18230904516436
514.564,0.590909,366.603,2011.51,112.172,500000,100000,1,0.590909,112.172,532.9531190294728,0.6310840724857371,395.3035259631664,2004.878269026204,124.6417665500254,523594.0438419365,93273.351560614,0.9893989927086502,0.5442148785301545,111.38915700196212
472.14,0.681818,369.228,2011.51,101.122,500000,100000,1,0.681818,101.122,487.3551480322704,0.6318848309876437,374.8783608015879,1937.066512631744,79.01001032326504,458480.3025290386,98739.79419683883,1.069437766665625,0.7268460024218706,95.4478631736101
573.15,0.681818,362.384,2011.51,129.914,500000,100000,1,0.681818,129.914,600.9617730313704,0.6999028746727021,303.7304223036084,2022.108942104391,156.73775441384643,476222.2096663704,97243.18202750516,0.9756623685987162,0.6092235516018167,130.63569690243233
429.716,0.772727,372.271,2011.51,88.3009,500000,100000,1,0.772727,88.3009,427.9842499065597,0.764599549995314,365.7340651352888,2073.427297791871,95.8134231753197,481939.298688908,106476.5467744052,1.076646473666354,0.7834699279582272,80.02231604907819
530.726,0.772727,364.791,2011.51,119.796,500000,100000,1,0.772727,119.796,542.0825446469887,0.7683380293449792,375.7216408408813,1938.3879274676992,118.34469118658475,490729.83427568007,100243.70838056544,1.01561391766736,0.8291396989253726,115.65672231198108
488.302,0.863636,367.482,2011.51,108.471,500000,100000,1,0.863636,108.471,469.4179982223394,0.810771760534191,378.0585177031497,2229.5285615254643,128.68754496982578,520051.0668014701,107746.4195787915,1.012504488466693,0.8400801977397143,102.69259332996772
546.887,0.954545,363.25,2011.51,126.276,500000,100000,1,0.954545,126.276,534.3350772675104,0.9257674819160644,352.70065417119093,1904.403949527335,169.18234688200204,499670.245021537,100024.42824941626,0.972584858763666,0.9137879727728958,126.45371875964122
445.877,0.954545,370.503,2011.51,95.7512,500000,100000,1,0.954545,95.7512,446.6356019983327,0.9578383473305528,352.4841839479829,1961.5049862931023,82.5810422872222,513964.1585665926,100498.44724293162,0.9825988422556244,0.8931331178635556,88.58078999786238
504.463,1.04545,365.945,2011.51,114.942,500000,100000,1,1.04545,114.942,485.25335504201166,1.0413295742152238,343.58346549184864,2028.133208751946,119.16787064219557,537495.4482805181,101494.66648871472,1.0183291647627704,1.1080725342328674,125.63671844465388
462.039,1.13636,368.923,2011.51,102.405,500000,100000,1,1.13636,102.405,466.6700083819384,1.1111055620714083,362.4473660562509,1920.423872764753,154.33377401279117,505278.51486443065,100804.30122116604,1.001558429889399,1.145867793566561,111.15520962353293
563.049,1.13636,361.886,2011.51,132.009,500000,100000,1,1.13636,132.009,528.5794985061539,1.0871536548912974,331.0424924411843,1675.4104269362642,88.10981230995323,513391.9239451739,101606.71926865543,1.043718058475635,1.1103549050604606,124.64822436814237
520.625,1.22727,364.554,2011.51,120.794,500000,100000,1,1.22727,120.794,496.462273974972,1.196243351175948,374.93454976361096,1747.8228759581589,127.10908773756086,502187.5828816097,101148.86276409982,1.0368233078926992,1.3408117993156845,140.96642902649364
478.201,1.31818,367.462,2011.51,108.559,500000,100000,1,1.31818,108.559,465.91361032179486,1.332177759089722,345.5800056379901,2107.0106809788344,101.06911876868948,469722.78836237727,95147.36649159514,1.0318485388657537,1.3607293541256245,95.48689214310131
536.786,1.40909,363.251,2011.51,126.272,500000,100000,1,1.40909,126.272,567.3895266583082,1.457660102374076,413.72866967650793,2291.7919626026533,128.58654122396442,503540.1895497036,108101.34872021896,0.9848193915862892,1.3291480428507714,125.04074584539464
435.776,1.40909,370.703,2011.51,94.9114,500000,100000,1,1.40909,94.9114,425.2397755407646,1.4312664388860428,318.48343006520867,1778.891782973988,76.78644233451153,475687.6162754408,92633.51770952225,1.0868559719677355,1.3805885696808604,87.21033680838619
494.362,1.5,366.103,2011.51,114.276,500000,100000,1,1.5,114.276,555.9640532958117,1.561811427259173,413.6499659215006,1888.3545234637104,113.87305056282852,496873.4557550175,104354.00143068528,1.037217681705425,1.480435302929791,97.23997241221754
552.948,1.59091,362.019,2011.51,131.452,500000,100000,1,1.59091,131.452,522.0237338226073,1.5953840634999277,387.4988440278301,1752.952419677595,127.45705871209904,506996.0867756377,101276.71166641684,1.0063498936795288,1.519706162560612,109.83973384228456
451.938,1.59091,369.237,2011.51,101.083,500000,100000,1,1.59091,101.083,446.0027090853676,1.7617927614393216,370.3633506191695,2426.076455095458,110.95722035459444,498058.7557573673,102518.51758647714,1.0075500661591343,1.6390827842054896,95.73068092333952
510.524,1.68182,364.807,2011.51,119.726,500000,100000,1,1.68182,119.726,472.3485076310395,1.581048579151299,381.0866404206973,2243.844927086691,157.0814146125073,478722.7709899127,93891.56426882464,1.0096644139847148,1.7160925537996672,124.87379955449389
468.099,1.77273,367.849,2011.51,106.928,500000,100000,1,1.77273,106.928,505.3753616763109,1.8045935755007647,376.80394232925175,2186.221895591662,94.5398756190534,507697.7046756536,102286.82370963668,0.9323965101235288,1.7142535421809983,110.94611745138202
